"","coast","lag","quantile","direction","proportion"
"437","south",14,0.2,"b",0.230859708973663
"438","south",14,0.2,"x",0.425423634195531
"439","south",14,0.3,"a",0.20616924307914
"440","south",14,0.3,"b",0.215387007569136
"441","south",14,0.3,"x",0.409932319024344
"442","south",14,0.4,"a",0.200967177453543
"443","south",14,0.4,"b",0.224348739099275
"444","south",14,0.4,"x",0.41220402844093
"445","south",14,0.5,"a",0.187274762274762
"446","south",14,0.5,"b",0.206589737981141
"447","south",14,0.5,"x",0.377756676455771
"448","south",14,0.6,"a",0.201122488622489
"449","south",14,0.6,"b",0.204000166500167
"450","south",14,0.6,"x",0.392635142635143
"451","south",14,0.7,"a",0.186729936729937
"452","south",14,0.7,"b",0.178689366189366
"453","south",14,0.7,"x",0.348810911310911
"454","south",14,0.8,"a",0.19004884004884
"455","south",14,0.8,"b",0.118351093351093
"456","south",14,0.8,"x",0.295579420579421
"457","south",14,0.9,"a",0.188461538461538
"458","south",14,0.9,"b",0.124358974358974
"459","south",14,0.9,"x",0.287179487179487
"460","south",14,1,"a",0.230769230769231
"461","south",14,1,"b",0.0769230769230769
"462","south",14,1,"x",0.307692307692308
"463","west",2,0,"a",0.0498226412806209
"464","west",2,0,"b",0.0478514835475786
"465","west",2,0,"x",0.0719091074460345
"466","west",2,0.1,"a",0.0506275413391163
"467","west",2,0.1,"b",0.0385364145658263
"468","west",2,0.1,"x",0.0654314629077437
"469","west",2,0.2,"a",0.0567063492063492
"470","west",2,0.2,"b",0.0433333333333333
"471","west",2,0.2,"x",0.0733730158730158
"472","west",2,0.3,"a",0.0642571351412815
"473","west",2,0.3,"b",0.0485743930865882
"474","west",2,0.3,"x",0.0828625135027574
"475","west",2,0.4,"a",0.0676323160843285
"476","west",2,0.4,"b",0.0499226006191951
"477","west",2,0.4,"x",0.0823381984372696
"478","west",2,0.5,"a",0.0417949507389162
"479","west",2,0.5,"b",0.0507235221674877
"480","west",2,0.5,"x",0.0593442118226601
"481","west",2,0.6,"a",0.043066534914361
"482","west",2,0.6,"b",0.0544301712779973
"483","west",2,0.6,"x",0.0544301712779973
"484","west",2,0.7,"a",0.0424836601307189
"485","west",2,0.7,"b",0.05718954248366
"486","west",2,0.7,"x",0.05718954248366
"487","west",2,0.8,"a",0
"488","west",2,0.8,"b",0.0208333333333333
"489","west",2,0.8,"x",0.0208333333333333
"490","west",2,0.9,"a",0
"491","west",2,0.9,"b",0
"492","west",2,0.9,"x",0
"493","west",2,1,"a",0
"494","west",2,1,"b",0
"495","west",2,1,"x",0
"496","west",4,0,"a",0.0542086061929016
"497","west",4,0,"b",0.0871948015199288
"498","west",4,0,"x",0.115638390330665
"499","west",4,0.1,"a",0.05552950212343
"500","west",4,0.1,"b",0.0775225896810337
"501","west",4,0.1,"x",0.109319598807265
"502","west",4,0.2,"a",0.0622619047619048
"503","west",4,0.2,"b",0.0867460317460318
"504","west",4,0.2,"x",0.12234126984127
"505","west",4,0.3,"a",0.0642571351412815
"506","west",4,0.3,"b",0.0985452555574506
"507","west",4,0.3,"x",0.13283337597362
"508","west",4,0.4,"a",0.0676323160843285
"509","west",4,0.4,"b",0.0704334365325078
"510","west",4,0.4,"x",0.102849034350582
"511","west",4,0.5,"a",0.0417949507389162
"512","west",4,0.5,"b",0.0752770935960591
"513","west",4,0.5,"x",0.0838977832512315
"514","west",4,0.6,"a",0.043066534914361
"515","west",4,0.6,"b",0.0544301712779973
"516","west",4,0.6,"x",0.0544301712779973
"517","west",4,0.7,"a",0.0424836601307189
"518","west",4,0.7,"b",0.05718954248366
"519","west",4,0.7,"x",0.05718954248366
"520","west",4,0.8,"a",0
"521","west",4,0.8,"b",0.0208333333333333
"522","west",4,0.8,"x",0.0208333333333333
"523","west",4,0.9,"a",0
"524","west",4,0.9,"b",0
"525","west",4,0.9,"x",0
"526","west",4,1,"a",0
"527","west",4,1,"b",0
"528","west",4,1,"x",0
"529","west",6,0,"a",0.0761384307543051
"530","west",6,0,"b",0.0871948015199288
"531","west",6,0,"x",0.137568214892069
"532","west",6,0.1,"a",0.0800393060449986
"533","west",6,0.1,"b",0.0775225896810337
"534","west",6,0.1,"x",0.133829402728834
"535","west",6,0.2,"a",0.0900396825396825
"536","west",6,0.2,"b",0.0867460317460318
"537","west",6,0.2,"x",0.150119047619047
"538","west",6,0.3,"a",0.0886473790437205
"539","west",6,0.3,"b",0.0985452555574506
"540","west",6,0.3,"x",0.157223619876059
"541","west",6,0.4,"a",0.0970440807902107
"542","west",6,0.4,"b",0.0704334365325078
"543","west",6,0.4,"x",0.132260799056465
"544","west",6,0.5,"a",0.0676570197044334
"545","west",6,0.5,"b",0.0752770935960591
"546","west",6,0.5,"x",0.109759852216749
"547","west",6,0.6,"a",0.075675230566535
"548","west",6,0.6,"b",0.0544301712779973
"549","west",6,0.6,"x",0.0870388669301713
"550","west",6,0.7,"a",0.0571895424836601
"551","west",6,0.7,"b",0.05718954248366
"552","west",6,0.7,"x",0.0718954248366012
"553","west",6,0.8,"a",0.0208333333333333
"554","west",6,0.8,"b",0.0208333333333333
"555","west",6,0.8,"x",0.0416666666666667
"556","west",6,0.9,"a",0
"557","west",6,0.9,"b",0
"558","west",6,0.9,"x",0
"559","west",6,1,"a",0
"560","west",6,1,"b",0
"561","west",6,1,"x",0
"562","west",8,0,"a",0.0832812878971622
"563","west",8,0,"b",0.120946014229121
"564","west",8,0,"x",0.178462284744118
"565","west",8,0.1,"a",0.0881038221740309
"566","west",8,0.1,"b",0.106157043462546
"567","west",8,0.1,"x",0.170528372639378
"568","west",8,0.2,"a",0.098968253968254
"569","west",8,0.2,"b",0.107857142857143
"570","west",8,0.2,"x",0.18015873015873
"571","west",8,0.3,"a",0.0886473790437205
"572","west",8,0.3,"b",0.122416709306953
"573","west",8,0.3,"x",0.181095073625561
"574","west",8,0.4,"a",0.0970440807902107
"575","west",8,0.4,"b",0.0982972136222907
"576","west",8,0.4,"x",0.160124576146248
"577","west",8,0.5,"a",0.0676570197044334
"578","west",8,0.5,"b",0.108451354679803
"579","west",8,0.5,"x",0.142934113300493
"580","west",8,0.6,"a",0.075675230566535
"581","west",8,0.6,"b",0.0974967061923583
"582","west",8,0.6,"x",0.130105401844532
"583","west",8,0.7,"a",0.0571895424836601
"584","west",8,0.7,"b",0.11437908496732
"585","west",8,0.7,"x",0.129084967320261
"586","west",8,0.8,"a",0.0208333333333333
"587","west",8,0.8,"b",0.0773809523809524
"588","west",8,0.8,"x",0.0982142857142858
"589","west",8,0.9,"a",0
"590","west",8,0.9,"b",0.104166666666667
"591","west",8,0.9,"x",0.104166666666667
"592","west",8,1,"a",0
"593","west",8,1,"b",0
"594","west",8,1,"x",0
"595","west",10,0,"a",0.100981789150295
"596","west",10,0,"b",0.13786078098472
"597","west",10,0,"x",0.21307755275285
