"site","events","cooccurrence","proportion","lon","lat","quantile"
"Orient Beach",10,2,0.2,27.91625977,-33.02406514,0.8
"Orient Beach",5,2,0.4,27.91625977,-33.02406514,0.9
"Orient Beach",1,0,0,27.91625977,-33.02406514,1
"Pollock Beach",20,6,0.3,25.677885,-33.99125,0
"Pollock Beach",18,5,0.277777777777778,25.677885,-33.99125,0.1
"Pollock Beach",16,4,0.25,25.677885,-33.99125,0.2
"Pollock Beach",14,3,0.214285714285714,25.677885,-33.99125,0.3
"Pollock Beach",12,3,0.25,25.677885,-33.99125,0.4
"Pollock Beach",10,2,0.2,25.677885,-33.99125,0.5
"Pollock Beach",8,2,0.25,25.677885,-33.99125,0.6
"Pollock Beach",6,1,0.166666666666667,25.677885,-33.99125,0.7
"Pollock Beach",4,0,0,25.677885,-33.99125,0.8
"Pollock Beach",2,0,0,25.677885,-33.99125,0.9
"Pollock Beach",1,0,0,25.677885,-33.99125,1
"Port Nolloth",59,13,0.220338983050847,16.86710358,-29.25240668,0
"Port Nolloth",53,12,0.226415094339623,16.86710358,-29.25240668,0.1
"Port Nolloth",47,11,0.234042553191489,16.86710358,-29.25240668,0.2
"Port Nolloth",40,9,0.225,16.86710358,-29.25240668,0.3
"Port Nolloth",35,9,0.257142857142857,16.86710358,-29.25240668,0.4
"Port Nolloth",30,7,0.233333333333333,16.86710358,-29.25240668,0.5
"Port Nolloth",24,5,0.208333333333333,16.86710358,-29.25240668,0.6
"Port Nolloth",18,1,0.0555555555555556,16.86710358,-29.25240668,0.7
"Port Nolloth",12,1,0.0833333333333333,16.86710358,-29.25240668,0.8
"Port Nolloth",6,0,0,16.86710358,-29.25240668,0.9
"Port Nolloth",1,0,0,16.86710358,-29.25240668,1
"Sea Point",57,5,0.087719298245614,18.382165,-33.918469,0
"Sea Point",51,4,0.0784313725490196,18.382165,-33.918469,0.1
"Sea Point",45,4,0.0888888888888889,18.382165,-33.918469,0.2
"Sea Point",40,4,0.1,18.382165,-33.918469,0.3
"Sea Point",34,3,0.0882352941176471,18.382165,-33.918469,0.4
"Sea Point",29,2,0.0689655172413793,18.382165,-33.918469,0.5
