order,site,src,lon,lat,depth,type,coast,ec,sc,wc
98,Umgababa,KZNSB,30.837709,-30.14325,0,thermo,ec,0,0,0
99,Karridene,KZNSB,30.849952,-30.124541,0,thermo,ec,0,0,0
100,Winkelspruit,KZNSB,30.861936,-30.097695,0,thermo,ec,0,0,0
101,Warner Beach,KZNSB,30.868283,-30.084807,0,thermo,ec,0,0,0
102,Amanzimtoti,KZNSB,30.891112,-30.050921,0,thermo,ec,0,0,0
103,Isipingo,KZNSB,30.953867,-29.992879,0,thermo,ec,0,0,0
104,Brighton Beach,KZNSB,31.007161,-29.939674,0,thermo,ec,0,0,0
105,Antsey's Beach,KZNSB,31.02095,-29.92257,0,thermo,ec,0,0,0
106,Durban,SAWS,31.044788,-29.864763,0,thermo,ec,1,0,0
107,Durban,KZNSB,31.042445,-29.856148,0,thermo,ec,1,0,0
108,Umhlanga Rocks,KZNSB,31.080595,-29.740594,0,thermo,ec,0,0,0
109,Umdloti,KZNSB,31.120519,-29.66801,0,thermo,ec,0,0,0
110,La Mercy,KZNSB,31.139958,-29.635194,0,thermo,ec,0,0,0
111,Westbrook,KZNSB,31.171944,-29.591409,0,thermo,ec,0,0,0
112,Ballito,SAWS,31.216621,-29.545012,0,thermo,ec,0,0,0
113,Ballito,KZNSB,31.218663,-29.541555,0,thermo,ec,0,0,0
114,Thompson's Bay,KZNSB,31.228013,-29.521815,0,thermo,ec,0,0,0
115,Salt Rock,KZNSB,31.245265,-29.496042,0,thermo,ec,0,0,0
116,Salt Rock,SAWS,31.246652,-29.496601,0,thermo,ec,0,0,0
117,Ballito,EKZNW,31.27638,-29.4695,14,UTR,ec,0,0,0
118,Tinley Manor,KZNSB,31.286848,-29.449854,0,thermo,ec,0,0,0
119,Blythedale,KZNSB,31.351884,-29.372731,0,thermo,ec,0,0,0
120,Zinkwazi,KZNSB,31.439787,-29.288409,0,thermo,ec,0,0,0
121,Zinkwazi,SAWS,31.444026,-29.280559,0,thermo,ec,0,0,0
122,Richards Bay,KZNSB,32.06878,-28.830402,0,thermo,ec,1,0,0
123,Richards Bay,SAWS,32.075667,-28.804674,0,thermo,ec,1,0,0
124,Leadsmanshoal,EKZNW,32.6036,-27.87365,10,UTR,ec,1,0,0
125,Sodwana,EKZNW,32.6036,-27.87365,12,UTR,ec,1,0,0
126,Sodwana,DEA,32.7333333333,-27.4247222222,18,UTR,ec,1,0,0
127,Saxon,EKZNW,32.8877,-26.9272,10,UTR,ec,1,0,0
